species1	chr1	start1	stop1	strand1	species2	chr2	start2	stop2	strand2
sorghum_bicolor	2	1539127	1576281	1	oryza_sativa	7	1106840	1163369	1
sorghum_bicolor	2	1132783	1169264	1	oryza_sativa	7	1067127	1095776	1
sorghum_bicolor	2	69865252	69944230	1	oryza_sativa	7	21155455	21247034	1
sorghum_bicolor	2	1140318	1170362	1	oryza_sativa	7	1067127	1095776	1
sorghum_bicolor	2	1091098	1170362	1	oryza_sativa	7	964856	1090092	1
sorghum_bicolor	2	69482800	69610697	1	oryza_sativa	7	20293075	20654046	1
sorghum_bicolor	2	1147747	1170362	1	oryza_sativa	7	972942	1081638	1
sorghum_bicolor	2	10427057	11143047	1	oryza_sativa	7	1105853	1163369	1
sorghum_bicolor	2	138434	18202361	1	oryza_sativa	7	17519	16387446	1
sorghum_bicolor	2	69865252	69972178	1	oryza_sativa	7	21168993	21419296	1
sorghum_bicolor	2	7135299	7277920	1	oryza_sativa	7	5463119	5575694	1
sorghum_bicolor	2	1140318	1170362	1	oryza_sativa	7	972942	1086230	1
sorghum_bicolor	2	1132783	1159028	1	oryza_sativa	7	1076918	1095776	1
sorghum_bicolor	2	10347735	10522511	1	oryza_sativa	7	1105853	1159170	1
sorghum_bicolor	2	67532919	77914576	1	oryza_sativa	7	16815629	29633467	1
sorghum_bicolor	1	13642313	13854813	0	oryza_sativa	3	23450188	23611883	1
sorghum_bicolor	1	54453105	54707664	0	oryza_sativa	3	18405282	19204054	1
sorghum_bicolor	1	65548209	73833847	0	oryza_sativa	3	19107	6626080	1
sorghum_bicolor	1	55030643	65040915	0	oryza_sativa	3	7107129	17891905	1
sorghum_bicolor	1	63649	16845149	0	oryza_sativa	3	19726886	36401591	1
sorghum_bicolor	1	11375471	11447202	1	oryza_sativa	3	26344497	26422220	1
sorghum_bicolor	1	54064049	54429530	1	oryza_sativa	3	17949269	18332522	1
sorghum_bicolor	1	59589670	59682604	1	oryza_sativa	3	12546003	12646793	1
sorghum_bicolor	1	4538876	4594145	1	oryza_sativa	3	32907101	32988118	1
sorghum_bicolor	1	1932483	2121194	1	oryza_sativa	3	34870676	35055367	1
sorghum_bicolor	1	65045823	65549637	1	oryza_sativa	3	6626961	7093988	1
sorghum_bicolor	1	46136631	46889856	0	oryza_sativa	10	689474	926465	1
sorghum_bicolor	1	41253137	42008464	0	oryza_sativa	10	3779650	3851647	1
sorghum_bicolor	1	53517868	53642428	0	oryza_sativa	10	20426804	20576053	1
sorghum_bicolor	1	43262576	44334289	0	oryza_sativa	10	2477209	2951031	1
sorghum_bicolor	1	53398934	53664669	0	oryza_sativa	10	20377031	20634928	1
sorghum_bicolor	1	45970202	47882188	0	oryza_sativa	10	94937	1194794	1
sorghum_bicolor	1	47990059	53887670	0	oryza_sativa	10	20135412	23198427	1
sorghum_bicolor	1	17142672	32893785	0	oryza_sativa	10	12923153	20100033	1
sorghum_bicolor	1	42544902	43192217	1	oryza_sativa	10	3438474	3504118	1
sorghum_bicolor	1	50297392	50564376	1	oryza_sativa	10	22174848	22242075	1
sorghum_bicolor	1	25181743	26029795	1	oryza_sativa	10	14731536	15021149	1
sorghum_bicolor	10	12759392	12844774	0	oryza_sativa	7	972942	1081638	1
sorghum_bicolor	10	12759392	12854154	0	oryza_sativa	7	972942	1086230	1
sorghum_bicolor	10	12796616	12860023	0	oryza_sativa	7	1076918	1095776	1
sorghum_bicolor	10	12759392	12860023	0	oryza_sativa	7	972942	1090092	1
sorghum_bicolor	10	12775848	12860023	0	oryza_sativa	7	1067127	1095776	1
sorghum_bicolor	10	12759392	12854154	0	oryza_sativa	7	1067127	1095776	1
sorghum_bicolor	10	12796616	12860023	1	oryza_sativa	7	972942	1081638	1
sorghum_bicolor	10	12775848	12860023	1	oryza_sativa	7	972942	1086230	1
sorghum_bicolor	10	12759392	12844774	1	oryza_sativa	7	1076918	1095776	1
sorghum_bicolor	10	12759392	12860023	1	oryza_sativa	7	972942	1090092	1
sorghum_bicolor	10	12759392	12854154	1	oryza_sativa	7	1067127	1095776	1
sorghum_bicolor	10	12775848	12860023	1	oryza_sativa	7	1067127	1095776	1
sorghum_bicolor	10	7084056	7138351	0	oryza_sativa	6	5878574	5914285	1
sorghum_bicolor	10	7084056	7138351	0	oryza_sativa	6	5884568	5919685	1
sorghum_bicolor	10	2485977	2539299	0	oryza_sativa	6	2175908	2213482	1
sorghum_bicolor	10	2481188	2537202	0	oryza_sativa	6	2175908	2213482	1
sorghum_bicolor	10	41237053	41930156	0	oryza_sativa	6	13143806	13418272	1
sorghum_bicolor	10	1738034	1821945	0	oryza_sativa	6	1691885	1760884	1
sorghum_bicolor	10	658082	830118	0	oryza_sativa	6	623493	702164	1
sorghum_bicolor	10	13599584	14043417	0	oryza_sativa	6	10287645	10589935	1
sorghum_bicolor	10	60847336	60974366	0	oryza_sativa	6	31181670	31217518	1
sorghum_bicolor	10	2481188	2529611	0	oryza_sativa	6	2175908	2209556	1
sorghum_bicolor	10	2497021	2539299	0	oryza_sativa	6	2180250	2213482	1
sorghum_bicolor	10	20310276	23908588	0	oryza_sativa	6	16793652	17566140	1
sorghum_bicolor	10	3464074	3562304	1	oryza_sativa	6	2940004	2979467	1
sorghum_bicolor	10	2497021	2539299	1	oryza_sativa	6	2175908	2209556	1
sorghum_bicolor	10	2481188	2548789	1	oryza_sativa	6	2180250	2246692	1
sorghum_bicolor	10	7084056	7205336	1	oryza_sativa	6	5884568	5980737	1
sorghum_bicolor	10	84024	20159874	1	oryza_sativa	6	185697	13003793	1
sorghum_bicolor	10	42821797	60815820	1	oryza_sativa	6	17938656	31150545	1
sorghum_bicolor	3	12451150	12529265	0	oryza_sativa	1	9859354	9885517	1
sorghum_bicolor	3	69909924	69934145	0	oryza_sativa	1	38910993	38934752	1
sorghum_bicolor	3	8595518	8644285	0	oryza_sativa	1	738908	795413	1
sorghum_bicolor	4	66882	20603293	1	oryza_sativa	2	3634	11596449	1
sorghum_bicolor	4	8003260	8294437	1	oryza_sativa	2	6628383	6778380	1
sorghum_bicolor	4	36860834	57122065	1	oryza_sativa	2	15459025	25687113	1
sorghum_bicolor	4	63725383	68008026	1	oryza_sativa	2	31967805	35929717	1
sorghum_bicolor	4	3675700	3757179	1	oryza_sativa	2	2933952	3061394	1
sorghum_bicolor	4	57145498	63719437	0	oryza_sativa	2	25693917	31959951	1
sorghum_bicolor	4	13379334	13477904	0	oryza_sativa	2	9569705	9601245	1
sorghum_bicolor	4	3675700	3734947	0	oryza_sativa	2	2938046	3095103	1
sorghum_bicolor	4	66390112	66585297	0	oryza_sativa	2	34564290	34723416	1
sorghum_bicolor	4	55136269	55213779	0	oryza_sativa	2	23710890	23775628	1
sorghum_bicolor	4	49799348	50086298	0	oryza_sativa	2	18805498	19012299	1
sorghum_bicolor	4	13819711	14054382	0	oryza_sativa	2	9778410	9978051	1
sorghum_bicolor	4	52386058	52425028	0	oryza_sativa	2	21098190	21131368	1
sorghum_bicolor	4	10243964	10338111	0	oryza_sativa	2	8110975	8206393	1
sorghum_bicolor	4	184552	211155	0	oryza_sativa	2	124645	163728	1
sorghum_bicolor	4	2341448	2450220	0	oryza_sativa	2	1603372	1648808	1
sorghum_bicolor	5	34942	10628985	1	oryza_sativa	11	14301	5427714	1
sorghum_bicolor	5	27166690	60771657	1	oryza_sativa	11	15840376	27658409	1
sorghum_bicolor	5	61123386	62328788	1	oryza_sativa	11	27978644	28967139	1
sorghum_bicolor	5	19537190	20437414	1	oryza_sativa	11	8990256	10143842	1
sorghum_bicolor	5	59201657	59438068	1	oryza_sativa	11	25827938	26285470	1
sorghum_bicolor	5	10141740	10628985	1	oryza_sativa	11	5141880	5408130	1
sorghum_bicolor	5	52065736	52379326	1	oryza_sativa	11	20343336	20415265	1
sorghum_bicolor	5	10791578	19223252	0	oryza_sativa	11	5460669	8446079	1
sorghum_bicolor	5	54690982	54821559	0	oryza_sativa	11	21966465	22013643	1
sorghum_bicolor	5	10141740	10566533	0	oryza_sativa	11	5059892	5345614	1
sorghum_bicolor	5	41135563	41367850	0	oryza_sativa	11	17180535	17237925	1
sorghum_bicolor	5	34942	3879083	1	oryza_sativa	12	12686	2822955	1
sorghum_bicolor	6	37682920	62140380	1	oryza_sativa	4	18975772	35481804	1
sorghum_bicolor	6	97105	3186657	1	oryza_sativa	4	58789	4770679	1
sorghum_bicolor	6	26359064	31223876	1	oryza_sativa	4	18168726	18405688	1
sorghum_bicolor	6	6491831	10113522	1	oryza_sativa	4	8514940	11294110	1
sorghum_bicolor	6	49412901	49461991	1	oryza_sativa	4	23727976	23772456	1
sorghum_bicolor	6	49732132	49839953	1	oryza_sativa	4	24044380	24104868	1
sorghum_bicolor	6	58179154	58355039	1	oryza_sativa	4	32049063	32253028	1
sorghum_bicolor	6	31553721	37248311	0	oryza_sativa	4	18407325	18949649	1
sorghum_bicolor	6	3764940	5858151	0	oryza_sativa	4	5590414	7522034	1
sorghum_bicolor	6	50195440	50317104	0	oryza_sativa	4	24356759	24479383	1
sorghum_bicolor	6	11816713	15966344	0	oryza_sativa	4	11510732	12063828	1
sorghum_bicolor	7	16609	18377666	1	oryza_sativa	8	36145	10335439	1
sorghum_bicolor	7	7306801	7454803	1	oryza_sativa	8	5186875	5255230	1
sorghum_bicolor	7	7160130	7316197	1	oryza_sativa	8	5238999	5265340	1
sorghum_bicolor	7	7315270	7454803	1	oryza_sativa	8	5186875	5249832	1
sorghum_bicolor	7	7160130	7307936	1	oryza_sativa	8	5242497	5265340	1
sorghum_bicolor	7	7409465	7454803	1	oryza_sativa	8	5186875	5243656	1
sorghum_bicolor	7	48833013	58340615	1	oryza_sativa	8	17634789	23717520	1
sorghum_bicolor	7	56751709	56978980	1	oryza_sativa	8	22369333	22497785	1
sorghum_bicolor	7	61901915	62413367	1	oryza_sativa	8	25628754	25983919	1
sorghum_bicolor	7	64162021	64307977	1	oryza_sativa	8	23730714	23886487	1
sorghum_bicolor	7	7239661	7436234	1	oryza_sativa	8	5186875	5265340	1
sorghum_bicolor	7	7259660	7454803	1	oryza_sativa	8	5186875	5261296	1
sorghum_bicolor	7	7160130	7426916	1	oryza_sativa	8	5208389	5265340	1
sorghum_bicolor	7	7239661	7420175	1	oryza_sativa	8	5233864	5265340	1
sorghum_bicolor	7	7160130	7410307	1	oryza_sativa	8	5233864	5265340	1
sorghum_bicolor	7	58373419	61884798	0	oryza_sativa	8	26031733	28400868	1
sorghum_bicolor	7	7160130	7420175	0	oryza_sativa	8	5186875	5261296	1
sorghum_bicolor	7	7259660	7454803	0	oryza_sativa	8	5208389	5265340	1
sorghum_bicolor	7	7306801	7454803	0	oryza_sativa	8	5233864	5265340	1
sorghum_bicolor	7	3860767	3938081	0	oryza_sativa	8	2924246	2986773	1
sorghum_bicolor	7	7789126	8118702	0	oryza_sativa	8	5618541	5850647	1
sorghum_bicolor	7	7160130	7410307	0	oryza_sativa	8	5186875	5255230	1
sorghum_bicolor	7	7315270	7454803	0	oryza_sativa	8	5238999	5265340	1
sorghum_bicolor	7	7160130	7316197	0	oryza_sativa	8	5186875	5249832	1
sorghum_bicolor	7	7409465	7454803	0	oryza_sativa	8	5242497	5265340	1
sorghum_bicolor	7	7160130	7307936	0	oryza_sativa	8	5186875	5243656	1
sorghum_bicolor	7	62417921	64143991	0	oryza_sativa	8	23926958	25593041	1
sorghum_bicolor	7	35905788	38752936	0	oryza_sativa	8	16331761	17540906	1
sorghum_bicolor	7	12888810	14516832	0	oryza_sativa	8	9069082	9508548	1
sorghum_bicolor	7	346975	470219	0	oryza_sativa	8	228236	298367	1
sorghum_bicolor	7	55185950	55331828	0	oryza_sativa	8	21043003	21179162	1
sorghum_bicolor	7	7160130	7426916	0	oryza_sativa	8	5186875	5265340	1
sorghum_bicolor	7	7239661	7436234	0	oryza_sativa	8	5186875	5265340	1
sorghum_bicolor	7	7251112	7454803	0	oryza_sativa	8	5186875	5265340	1
sorghum_bicolor	8	10323	923970	1	oryza_sativa	11	14301	585568	1
sorghum_bicolor	8	2981908	3985408	1	oryza_sativa	11	2168334	2602703	1
sorghum_bicolor	8	948038	2947383	0	oryza_sativa	11	595380	2141236	1
sorghum_bicolor	8	37311986	55444565	1	oryza_sativa	12	17302127	27518085	1
sorghum_bicolor	8	2981908	19261596	1	oryza_sativa	12	2193901	8004474	1
sorghum_bicolor	8	10323	923970	1	oryza_sativa	12	12686	626113	1
sorghum_bicolor	8	948038	2947383	0	oryza_sativa	12	632454	2170063	1
sorghum_bicolor	8	4641574	4690841	0	oryza_sativa	12	3212528	3243704	1
sorghum_bicolor	8	17951720	18487119	0	oryza_sativa	12	7820306	7924927	1
sorghum_bicolor	8	2534397	2562391	1	oryza_sativa	6	27306728	27334013	1
sorghum_bicolor	8	2534397	2562391	1	oryza_sativa	6	27303683	27330356	1
sorghum_bicolor	8	2534397	2562391	1	oryza_sativa	6	27317251	27378448	1
sorghum_bicolor	8	2537088	2562391	1	oryza_sativa	6	27303683	27326881	1
sorghum_bicolor	8	2534397	2557418	1	oryza_sativa	6	27323992	27378448	1
sorghum_bicolor	8	2534397	2562391	0	oryza_sativa	6	27306728	27334013	1
sorghum_bicolor	8	2534397	2562391	0	oryza_sativa	6	27303683	27330356	1
sorghum_bicolor	8	2534397	2562391	0	oryza_sativa	6	27317251	27378448	1
sorghum_bicolor	8	2534397	2557418	0	oryza_sativa	6	27303683	27326881	1
sorghum_bicolor	8	2537088	2562391	0	oryza_sativa	6	27323992	27378448	1
sorghum_bicolor	9	34090992	59622314	1	oryza_sativa	5	15556085	29764641	1
sorghum_bicolor	9	17759	17508064	1	oryza_sativa	5	44725	9229546	1
sorghum_bicolor	9	55466916	55607987	1	oryza_sativa	5	26144827	26237122	1
sorghum_bicolor	9	41328778	42453272	0	oryza_sativa	5	16477641	16718768	1
sorghum_bicolor	9	1839290	2137491	0	oryza_sativa	5	940495	1110025	1
sorghum_bicolor	9	397954	624432	0	oryza_sativa	5	321161	443269	1
sorghum_bicolor	9	54634461	54751363	0	oryza_sativa	5	25295858	25362761	1
sorghum_bicolor	GL002606.1	690303	2477707	0	oryza_sativa	10	11935626	12024125	1
